Name,ID,URL,Date,Time,Venue,City,Country,Latitude,Longitude,Genre,SubGenre,PriceRange,Currency
Dallas Cowboys vs. Tampa Bay Buccaneers,vvG1YZbaLwJVe-,https://www.ticketmaster.com/dallas-cowboys-vs-tampa-bay-buccaneers-arlington-texas-12-22-2024/event/0C006097F29B40A1,2024-12-22,19:20:00,AT&T Stadium,Arlington,United States Of America,32.74790427,-97.09345578,Football,NFL,,
Las Vegas Raiders vs. Jacksonville Jaguars,1AvjZbFGkX-bOXc,https://www.ticketmaster.com/las-vegas-raiders-vs-jacksonville-jaguars-las-vegas-nevada-12-22-2024/event/1700608FA1620FAD,2024-12-22,13:25:00,Allegiant Stadium,Las Vegas,United States Of America,36.0909,-115.1833,Football,NFL,144.0,USD
Denver Broncos vs. Indianapolis Colts,G5vzZbk3-moqQ,https://www.ticketmaster.com/denver-broncos-vs-indianapolis-colts-denver-colorado-12-15-2024/event/1E006064A1B9175A,2024-12-15,14:25:00,Empower Field At Mile High,Denver,United States Of America,39.743853,-105.020127,Football,NFL,79.0,USD
Anaheim Ducks vs. Los Angeles Kings,vvG10ZbunibKsg,https://www.ticketmaster.com/anaheim-ducks-vs-los-angeles-kings-anaheim-california-11-29-2024/event/090060DAAC613C75,2024-11-29,12:30:00,Honda Center,Anaheim,United States Of America,33.80780364,-117.87653112,Hockey,NHL,42.0,USD
SACRAMENTO KINGS VS. LOS ANGELES LAKERS,G5vYZb2nbt0Fa,https://www.ticketmaster.com/sacramento-kings-vs-los-angeles-lakers-sacramento-california-12-21-2024/event/1C0060FA98A64209,2024-12-21,15:00:00,Golden 1 Center,Sacramento,United States Of America,38.580372,-121.500231,Basketball,NBA,40.0,USD
Cincinnati Bengals vs. Cleveland Browns,1AvbZb6GklZM7LR,https://www.ticketmaster.com/cincinnati-bengals-vs-cleveland-browns-cincinnati-ohio-12-22-2024/event/1600607AC0DC47EF,2024-12-22,13:00:00,Paycor Stadium,Cincinnati,United States Of America,39.0955556,-84.5161111,Football,NFL,115.0,USD
Carolina Panthers vs. Arizona Cardinals,G5eVZbkD7jgI3,https://www.ticketmaster.com/carolina-panthers-vs-arizona-cardinals-charlotte-north-carolina-12-22-2024/event/2D00606EC4735A12,2024-12-22,13:00:00,Bank of America Stadium,Charlotte,United States Of America,35.225789,-80.852829,Football,NFL,61.0,USD
Indianapolis Colts vs. Tennessee Titans,vv1AAZkvVGkdANV9P,https://www.ticketmaster.com/indianapolis-colts-vs-tennessee-titans-indianapolis-indiana-12-22-2024/event/05006074C58F45E5,2024-12-22,13:00:00,Lucas Oil Stadium,Indianapolis,United States Of America,39.76007,-86.163821,Football,NFL,50.0,USD
Jacksonville Jaguars vs. Houston Texans,1AeFZbFGknk2ZMI,https://www.ticketmaster.com/jacksonville-jaguars-vs-houston-texans-jacksonville-florida-12-01-2024/event/2200608A863C0DE8,2024-12-01,13:00:00,EverBank Stadium ,Jacksonville,United States Of America,30.323887,-81.637357,Football,NFL,86.0,USD
Boston Bruins vs. Pittsburgh Penguins,vvG17ZbuE4jEp_,https://www.ticketmaster.com/boston-bruins-vs-pittsburgh-penguins-boston-massachusetts-11-29-2024/event/010060D9D5727599,2024-11-29,18:30:00,TD Garden,Boston,United States Of America,42.365841,-71.060724,Hockey,NHL,210.0,USD
Detroit Red Wings vs. Calgary Flames,vvG1OZbC1J7w9U,https://www.ticketmaster.com/detroit-red-wings-vs-calgary-flames-detroit-michigan-11-27-2024/event/080060E2A61325F6,2024-11-27,19:30:00,Little Caesars Arena,Detroit,United States Of America,42.341089,-83.055434,Hockey,NHL,76.0,USD
Minnesota Wild vs. Chicago Blackhawks,vvG1bZbCmjbUM4,https://www.ticketmaster.com/minnesota-wild-vs-chicago-blackhawks-saint-paul-minnesota-11-29-2024/event/060060EB9C636DD5,2024-11-29,13:00:00,Xcel Energy Center,Saint Paul,United States Of America,44.94489438,-93.10121819,Hockey,NHL,90.0,USD
